customer_account_key,customer_name,customer_tier,helpdesk_ticket_ref,case_code,case_opened_ts,case_closed_ts,intake_channel,case_priority,case_subject,activity_id,event_occurred_ts,platform_name,activity_kind,performed_by_role,normalized_action,normalized_outcome,activity_detail,context_rating,response_rating,request_fulfilled,diagnostic_request_id,miss_count,missing_item_total,qa_severity,response_due_ts,missing_artifacts,attachment_list
acct_aurora_freight,Aurora Freight Network,mid_market,sf_7144,AF-7144,2026-03-28T09:00:00+00:00,2026-03-31T17:20:00+00:00,web,high,Rate-sheet reconciliation still missing weekend adjustment bundle,evt_7144_01,2026-03-28T09:04:00+00:00,salesforce_service_cloud,ticket_comment,requester,ticket_opened,issue_reported,"Finance ops shared the affected settlement run and weekend adjustment window, but not the actual bundle requested by the escalation template.",useful,,,,,,,,,
acct_aurora_freight,Aurora Freight Network,mid_market,sf_7144,AF-7144,2026-03-28T09:00:00+00:00,2026-03-31T17:20:00+00:00,web,high,Rate-sheet reconciliation still missing weekend adjustment bundle,evt_7144_02,2026-03-28T09:25:00+00:00,salesforce_service_cloud,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support requested the weekend adjustment bundle and one before-and-after invoice pair.,,,,diag-7144,,,,,,
acct_aurora_freight,Aurora Freight Network,mid_market,sf_7144,AF-7144,2026-03-28T09:00:00+00:00,2026-03-31T17:20:00+00:00,web,high,Rate-sheet reconciliation still missing weekend adjustment bundle,evt_7144_03,2026-03-31T17:10:00+00:00,workflow_orchestrator,system_timer,system,request_deadline_missed,weekend_adjustment_bundle_not_received,The requested reconciliation bundle still had not arrived by the follow-up deadline.,,,,diag-7144,1,,,2026-03-31T17:00:00+00:00,weekend_adjustment_bundle|invoice_before_after_pair,
acct_blueorbit,BlueOrbit Commerce,smb,ic_8103,BO-8103,2026-02-09T11:00:00+00:00,2026-02-10T13:30:00+00:00,chat,normal,Order export resumed after variant mapping resync,evt_8103_01,2026-02-09T11:02:00+00:00,intercom,ticket_comment,requester,ticket_opened,issue_reported,"The ecommerce lead opened with the failing order IDs, the variant mapping revision, and the exact export job that stalled.",complete,,,,,,,,,order-ids.csv
acct_blueorbit,BlueOrbit Commerce,smb,ic_8103,BO-8103,2026-02-09T11:00:00+00:00,2026-02-10T13:30:00+00:00,chat,normal,Order export resumed after variant mapping resync,evt_8103_02,2026-02-09T11:20:00+00:00,intercom,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support asked for one failed order export pair and the current mapping snapshot.,,,,diag-8103,,,,,,
acct_blueorbit,BlueOrbit Commerce,smb,ic_8103,BO-8103,2026-02-09T11:00:00+00:00,2026-02-10T13:30:00+00:00,chat,normal,Order export resumed after variant mapping resync,evt_8103_03,2026-02-09T12:15:00+00:00,intercom,ticket_comment,requester,provided_requested_info,requested_artifacts_uploaded,The customer attached the requested failed pair and mapping snapshot less than an hour later.,,complete,true,diag-8103,,,,,,failed-order-pair.csv|mapping-snapshot.json
acct_blueorbit,BlueOrbit Commerce,smb,ic_8103,BO-8103,2026-02-09T11:00:00+00:00,2026-02-10T13:30:00+00:00,chat,normal,Order export resumed after variant mapping resync,evt_8103_04,2026-02-10T13:30:00+00:00,intercom,status_change,requester,confirmed_fix,export_resumed_normally,The export resumed normally once the mapping cache was resynced.,,,,,,,,,,
acct_blueorbit,BlueOrbit Commerce,smb,zd_8186,BO-8186,2026-02-23T14:05:00+00:00,2026-02-25T10:40:00+00:00,email,normal,Tax code backfill completed after one sample payload review,evt_8186_01,2026-02-23T14:07:00+00:00,zendesk,ticket_comment,requester,ticket_opened,issue_reported,The merchant opened with one failing jurisdiction example and the tax backfill batch ID.,useful,,,,,,,,,
acct_blueorbit,BlueOrbit Commerce,smb,zd_8186,BO-8186,2026-02-23T14:05:00+00:00,2026-02-25T10:40:00+00:00,email,normal,Tax code backfill completed after one sample payload review,evt_8186_02,2026-02-23T14:50:00+00:00,zendesk,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support requested a sample payload from one affected order.,,,,diag-8186,,,,,,
acct_blueorbit,BlueOrbit Commerce,smb,zd_8186,BO-8186,2026-02-23T14:05:00+00:00,2026-02-25T10:40:00+00:00,email,normal,Tax code backfill completed after one sample payload review,evt_8186_03,2026-02-24T09:10:00+00:00,zendesk,ticket_comment,requester,provided_requested_info,requested_artifacts_uploaded,"The customer sent the requested sample payload, but only one example row instead of a fuller comparison bundle.",,useful,true,diag-8186,,,,,,sample-payload.json
